Re(Z)_fit,Img(Z)_fit
5536.517050060859,776.5692905791672
5538.153896672837,851.3175170389738
5540.088072829609,932.9723883964522
5542.383806955306,1022.4802008920432
5545.12979954059,1121.2256709580765
5548.393203834708,1229.335388231895
5552.310287409013,1348.7431960120862
5556.877814558877,1476.8427078186824
5562.360116187528,1618.2655212758598
5568.902443904333,1773.3348281478131
5576.868359687093,1946.560248026469
5586.250830041143,2133.6227342957927
5597.495445604495,2339.1628586935217
5610.851899386814,2562.925529655756
5627.1908405737995,2813.509532279466
5646.267630845256,3081.3003560000384
5669.179829768486,3375.8220313544134
5696.4798500030065,3697.0421559105944
5728.6085339786,4043.243605496265
5768.403937173807,4435.42654791308
5817.996694945856,4880.864711145698
5870.75730554931,5314.321322843471
5939.608719866997,5831.97398163124
6023.693913419209,6407.717286573886
6115.420770218752,6981.594427843565
6235.508125540073,7667.582111507655
6374.8206835193905,8392.251572267114
6540.851162793986,9179.679184178047
6739.266155056424,10037.348948335752
6977.799688149489,10976.294730658874
7262.183561292579,11994.824624326116
7603.930722491494,13107.338524229346
8002.024939319514,14285.11006093589
8478.244618990659,15564.995752970339
9043.143289813697,16941.958952849567
9724.754176463646,18445.120682614728
10517.619321551858,20024.073631096828
11452.514536618599,21702.719977655084
12540.34168634894,23459.550917611
13837.102891507166,25335.43289335892
15304.1132060562,27229.151914428527
17000.691567257873,29175.810665468114
18932.80535213137,31133.79793660181
21089.17529342278,33050.59273994573
23596.77624086495,34982.455850110426
26491.75262402347,36877.25509144193
29321.187746291493,38430.08004091737
32673.445633320902,39934.46629720692
36319.72515337529,41201.29378379486
39826.57928782894,42087.79472206728
43810.4025780648,42725.79491945234
47741.861662437754,42986.627688590896
51674.324274648316,42887.79471722157
55556.57284637691,42434.908861585805
59349.2380227857,41640.61848491087
62966.42463193183,40540.430349456336
66391.88993815648,39164.528584136046
69501.0424194591,37604.296317806315
72370.30780590503,35867.45568069593
74966.59278598441,34013.214646708
77329.18080838812,32052.41925831112
79386.34038274713,30092.50567566619
81195.67918291266,28134.09929029521
82761.28993241562,26223.383297227174
84143.44189669745,24331.04532294312
85301.93101605051,22560.416579353747
86299.24534683509,20867.479495135693
87147.38534153385,19273.645762945915
87859.63960031758,17797.423223807844
88485.34236189358,16369.5514424579
89030.6296321689,14998.357181136971
89441.44536640799,13866.655110805312
89822.61478464301,12720.961979404054
90147.69118060407,11652.661586623091
90398.76395445749,10755.873774621024
90631.78621053632,9854.480561458113
90822.02055534607,9058.668128831288
90983.12522111999,8334.25897530261
91120.58485685366,7673.561504807206
91239.08610505822,7068.5517483496005
91341.01770414753,6519.993898366589
91430.07436649957,6019.464416998141
91506.4471054512,5576.198459557165
91574.65458278102,5172.624780466042
91635.82302477233,4808.944917230238
91692.36262853476,4476.71789930046
91743.62363290964,4184.485760285979
91791.71083399585,3923.713958620431
91837.13487874389,3694.2587411432423
91881.93665829592,3488.2310986163116
91924.76800197693,3313.0346136567155
91967.56074885798,3160.8863809647287
92010.50536827178,3031.561757701923
92053.61044685195,2924.5355495573913
92099.51056466126,2833.8795531378323
92148.85588057354,2760.434858687312
92194.74151077982,2711.6039522366095
92247.45596705543,2675.1994335401773
92304.04873600573,2655.6686516073246
92358.81403951779,2652.568243059583
92422.61114961606,2664.7659387828553
92488.47004811127,2691.605755670157
92558.64718913549,2732.717320973489
92633.81892803131,2787.902109124484
92714.96893459023,2857.422681688681
92802.00860442116,2940.684513141708
92896.2803208896,3038.418534358694
92995.55120662975,3147.5289095802186
93103.21712263624,3270.9594303658732
93219.25453563799,3408.0282094210993
93346.70770870103,3561.6435581214587
93482.09564356248,3726.774022795231
93628.49971823258,3906.227243683054
93785.41260699487,4098.399705538695
93958.43365825879,4309.04886766538
94140.53885032979,4528.4761347529275
94337.8515398049,4762.882034663203
94549.87783140734,5010.342840289025
94775.06347562614,5267.754349979331
95026.39584156795,5548.215464680422
95307.47876476713,5853.207846799952
95576.93957553495,6137.0301755039745
95893.9557109194,6460.397209600541
96240.94677325049,6801.622124887576
96581.42479546751,7123.964831550241
96981.9226815239,7487.948910836128
97397.9149647052,7849.408712602689
97842.31419950553,8217.762074456045
98318.01495236265,8592.72068885536
98829.59191551396,8974.802266086
99374.51740920056,9358.958229134674
99958.81544748649,9746.11098495339
100566.07897337651,10122.777057088811
101214.08811229086,10497.343029288684
101898.90708490787,10864.047210300228
102633.73923894198,11225.900489978041
103393.48032601149,11567.249609566381
104190.19098277486,11891.060949938128
105015.0562346909,12191.051978902013
105889.80938674374,12471.54282232318
106771.6038882133,12716.47849398347
107683.13942502261,12931.039097765326
108613.55559641856,13110.645203041497
109548.54163724316,13251.948768399807
110530.96321201514,13358.866668795463
111558.29687427697,13425.731625856002
112477.57623067225,13446.924280212324
113483.6418679925,13428.405065962288
114499.72954682045,13365.335346543086
115418.71701760983,13269.586904835705
116411.19442294208,13124.334281408495
