frequency,Re(Z),Img(Z)
1000000.0,4565.279999999984,-11632.199999999935
926000.0,4812.939999999998,-12171.399999999983
858000.0,4751.840000000007,-12946.800000000369
794000.0,5424.639999999975,-13942.400000000198
736000.0,6048.53999999997,-13825.20000000002
681000.0,6704.479999999959,-15558.199999999815
631000.0,7174.839999999961,-15253.19999999981
584000.0,7972.69999999998,-16315.800000000168
541000.0,8440.879999999976,-16673.400000000183
501000.0,9587.980000000023,-17963.80000000049
464000.0,10620.579999999987,-18987.6000000001
430000.0,11128.619999999988,-18861.00000000008
398000.0,13193.580000000024,-20375.40000000044
369000.0,13467.960000000028,-20620.200000000412
341000.0,14731.540000000068,-21463.1999999999
316000.0,15471.000000000093,-22159.39999999981
293000.0,16169.000000000044,-22572.600000000508
271000.0,17541.39999999999,-23346.000000000447
251000.0,19417.199999999983,-24239.19999999961
233000.0,19796.399999999987,-24387.19999999966
215000.0,20718.399999999976,-24562.600000000537
200000.0,20727.39999999997,-24470.80000000051
185000.0,22451.00000000008,-25283.199999999742
171000.0,23816.00000000013,-25886.79999999935
158000.0,24537.600000000144,-26070.399999999216
147000.0,26337.20000000013,-26563.79999999917
136000.0,27829.000000000124,-27096.19999999931
126000.0,28933.20000000004,-27707.800000000305
117000.0,29867.599999999915,-28191.200000000485
108000.0,30202.59999999993,-28269.40000000047
100000.0,32002.20000000007,-29156.599999999857
92600.0,33762.0000000002,-29962.79999999941
85800.0,34247.20000000031,-30248.599999999336
79400.0,35542.00000000026,-30836.600000000217
73600.0,36125.60000000025,-31159.80000000028
68100.0,37449.2000000001,-32073.399999999685
63100.0,38130.6,-32576.99999999951
58400.0,39019.99999999986,-33274.799999999865
54100.0,39295.999999999854,-33446.199999999924
50100.0,40586.999999999854,-34345.00000000003
46400.0,43064.99999999977,-36150.80000000026
43000.0,44009.599999999744,-36798.99999999985
39800.0,45436.399999999805,-38081.80000000015
36900.0,46449.60000000017,-38806.80000000021
34100.0,48036.59999999995,-40319.40000000032
31600.0,49623.60000000011,-41574.99999999948
29300.0,50488.00000000018,-42521.99999999919
27100.0,52526.1999999996,-44364.79999999966
25100.0,54180.399999999696,-45879.80000000006
23300.0,55143.6000000001,-46783.60000000026
21500.0,56846.99999999987,-48501.20000000013
19900.0,58708.00000000014,-50553.20000000006
18500.0,59883.20000000016,-51747.20000000001
17100.0,61165.400000000176,-52962.20000000001
15800.0,63540.00000000013,-55257.80000000004
14700.0,64762.60000000004,-56422.59999999993
13600.0,67877.9999999998,-59477.59999999963
12600.0,70062.99999999965,-61677.99999999944
11700.0,72379.99999999964,-63742.59999999934
10800.0,77954.8000000001,-68231.59999999931
10000.0,81590.20000000026,-71715.59999999925
9260.0,83799.19999999981,-73490.99999999936
8570.0,89480.59999999958,-77519.79999999933
7940.0,92655.99999999945,-79691.99999999946
7350.0,96478.59999999932,-82152.80000000002
6810.0,101211.79999999992,-84470.19999999883
6310.0,103528.40000000047,-85919.9999999991
5840.0,103916.40000000047,-85959.5999999991
5410.0,108699.60000000056,-87553.59999999897
5010.0,115013.60000000066,-89599.99999999885
4640.0,127516.6000000008,-93775.99999999865
4300.0,132624.20000000048,-95145.59999999902
3980.0,140694.4,-96708.99999999936
3690.0,144565.99999999965,-97087.20000000064
3420.0,151727.9999999992,-97185.40000000138
3160.0,160312.00000000087,-96257.40000000143
2930.0,164796.00000000064,-95549.20000000148
2710.0,171405.99999999985,-94374.20000000024
2510.0,180682.00000000087,-91760.79999999925
2330.0,184874.00000000055,-90536.99999999948
2150.0,191711.9999999992,-88070.40000000125
2000.0,195260.00000000047,-86457.60000000127
1850.0,200419.9999999995,-83198.200000001
1710.0,204889.9999999987,-80129.80000000107
1580.0,211572.00000000148,-75874.40000000085
1470.0,214240.00000000183,-74133.20000000071
1360.0,219201.99999999884,-69130.7999999994
1260.0,221672.0000000005,-66549.39999999934
1170.0,223448.0000000007,-64442.399999999645
1080.0,229181.99999999968,-57277.00000000061
1000.0,231299.9999999993,-54804.99999999944
926.0,233315.99999999997,-51211.19999999941
858.0,234421.9999999991,-48655.59999999953
794.0,236051.99999999968,-44603.199999999655
736.0,236841.9999999998,-42608.599999999664
681.0,239072.0000000004,-37130.79999999926
631.0,239910.000000001,-34640.19999999957
584.0,241518.0000000002,-30855.39999999918
541.0,241204.0000000008,-29099.199999999444
501.0,241112.0000000012,-25391.199999999502
464.0,241272.0000000008,-22712.39999999952
430.0,241318.00000000076,-21657.799999999595
398.0,241857.99999999985,-17682.399999999667
369.0,241855.9999999998,-15786.600000000082
341.0,241062.00000000137,-13215.00000000003
316.0,241016.00000000148,-11427.2399999997
293.0,240944.00000000143,-10780.620000000124
271.0,240342.00000000067,-9260.160000000113
251.0,238711.99999999924,-5909.279999999829
233.0,238079.99999999927,-4775.879999999896
215.0,237212.0000000007,-3602.770000000198
200.0,236932.00000000064,-3230.5100000001944
185.0,235199.99999999933,-535.2299999999308
171.0,234363.99999999907,272.0700000002218
159.0,233937.99999999892,714.7100000002384
147.0,232001.9999999997,1645.020000000247
136.0,230768.0,3048.469999999734
126.0,229824.00000000195,3622.499999999704
117.0,229192.00000000183,3621.15999999964
108.0,227550.00000000064,4371.819999999908
100.0,226030.0000000016,4624.599999999845
92.6,225016.00000000076,4574.680000000072
85.8,224482.00000000023,4566.540000000126
79.4,222645.9999999992,4718.220000000233
73.6,222078.0000000004,4836.639999999927
68.1,220001.9999999985,4560.099999999916
63.1,219133.99999999788,4136.879999999763
58.4,217317.99999999945,3459.4599999998795
54.1,216310.00000000055,3328.559999999987
50.1,214854.00000000183,3784.594000000248
46.4,213892.00000000096,1936.4860000001956
43.0,213243.9999999997,1578.6260000001382
39.8,212465.99999999884,861.9040000003918
36.9,211893.99999999927,99.12400000023123
34.1,211316.00000000055,-938.6200000002405
31.6,210216.0000000012,-2829.2500000003133
29.3,209760.0000000014,-3846.0880000003226
27.1,207356.0000000012,-8373.085999999903
25.1,207014.00000000116,-9089.563999999897
23.3,206812.00000000096,-9572.74599999986
21.6,206434.0000000005,-11869.99999999961
20.0,205463.9999999989,-13136.699999999457
18.5,204903.9999999981,-14484.899999999432
