frequency,Re(Z),Img(Z)
1000000.0,2168.3000000000047,-961.3900000005268
912000.0,2200.9,-997.4840000005146
832000.0,2176.3599999999965,-1017.476000000286
759000.0,2175.079999999999,-1066.1600000002852
692000.0,2282.799999999998,-1176.5000000001105
631000.0,2315.9999999999964,-1242.019999999933
575000.0,2269.479999999999,-1293.1599999999498
525000.0,2252.5600000000045,-1370.2199999996592
479000.0,2281.399999999999,-1481.5600000000704
437000.0,2384.499999999999,-1601.6800000002604
398000.0,2391.399999999997,-1724.860000000069
363000.0,2472.219999999996,-1852.200000000003
331000.0,2506.019999999996,-1978.2799999999847
302000.0,2573.4400000000046,-2168.379999999654
275000.0,2586.159999999992,-2306.239999999685
251000.0,2646.400000000006,-2510.919999999729
229000.0,2624.8200000000065,-2668.859999999534
209000.0,2681.660000000007,-2938.579999999659
191000.0,2733.960000000012,-3140.739999999591
174000.0,2772.8199999999965,-3415.840000000283
158000.0,2832.48,-3735.980000000344
145000.0,2908.3799999999983,-4045.240000000126
132000.0,3159.4200000000046,-4483.219999999678
120000.0,3313.8599999999933,-4939.899999999751
110000.0,3495.679999999993,-5384.459999999838
100000.0,3636.3799999999846,-5865.01999999966
91200.0,3710.260000000008,-6384.219999999754
83200.0,3986.5199999999977,-6949.2200000000985
75900.0,4086.719999999999,-7457.679999999719
69200.0,4374.699999999994,-8193.620000000255
63100.0,4607.420000000009,-8880.92000000034
57500.0,4874.820000000013,-9559.7200000001
52500.0,5557.82000000001,-10663.980000000309
47900.0,5912.519999999999,-11411.080000000336
43700.0,6487.160000000041,-12511.800000000476
39800.0,6892.299999999974,-13531.400000000118
36300.0,7446.379999999965,-14535.79999999986
33100.0,8227.699999999997,-15607.599999999671
30200.0,9381.49999999999,-16875.600000000362
27500.0,10490.42000000002,-18302.600000000097
25100.0,11758.15999999998,-19572.999999999814
22900.0,12431.800000000048,-20602.3999999996
20900.0,13823.19999999993,-21886.19999999982
19100.0,15942.200000000008,-23328.199999999844
17400.0,17404.00000000001,-24505.8000000002
15800.0,19039.200000000088,-25592.999999999825
14500.0,21295.000000000106,-26571.199999999943
13200.0,24161.400000000016,-27308.99999999964
12000.0,25886.799999999883,-28178.19999999938
11000.0,28582.80000000004,-28869.79999999973
10000.0,31429.599999999995,-29220.99999999921
9120.0,35321.1999999999,-29408.39999999965
8320.0,38412.99999999963,-29151.79999999993
7590.0,41215.7999999999,-28599.399999999907
6920.0,43426.80000000032,-27845.6000000005
6310.0,46147.20000000035,-26809.000000000364
5750.0,48037.00000000019,-25866.800000000025
5250.0,49957.99999999995,-24650.20000000035
4790.0,52602.00000000001,-23091.00000000057
4370.0,53871.80000000032,-21904.40000000024
3980.0,55044.600000000086,-20691.999999999567
3630.0,56460.20000000019,-19140.60000000026
3310.0,58055.40000000011,-17237.20000000011
3020.0,58711.39999999971,-16717.39999999988
2750.0,59510.99999999996,-14257.479999999874
2510.0,60093.799999999865,-13793.279999999671
2290.0,60853.00000000002,-12914.719999999525
2090.0,61370.600000000166,-11950.040000000346
1910.0,61742.79999999998,-11173.200000000394
1740.0,62165.19999999986,-9786.640000000029
1580.0,62575.39999999985,-9125.299999999894
1450.0,62817.40000000001,-8214.940000000059
1320.0,62901.40000000001,-7636.940000000244
1200.0,63016.200000000055,-6718.140000000058
1100.0,63212.80000000047,-6181.560000000138
1000.0,63261.20000000019,-5505.939999999817
912.0,63457.399999999805,-5035.259999999988
832.0,63383.19999999994,-4401.140000000051
759.0,63597.00000000013,-4101.080000000097
692.0,63495.6000000002,-3593.640000000058
631.0,63445.60000000006,-3166.024000000145
575.0,63355.59999999995,-2679.6420000003222
525.0,63488.60000000001,-2574.842000000312
479.0,63574.19999999992,-2363.782000000322
437.0,63592.199999999895,-2188.2040000003717
398.0,63604.39999999992,-1925.430000000536
363.0,63611.5999999999,-1820.39000000053
331.0,63693.79999999991,-1423.004000000279
302.0,63682.39999999991,-1295.3680000002482
275.0,63693.39999999992,-1115.5200000003697
251.0,63693.39999999992,-1048.9920000003938
229.0,63685.79999999993,-916.7080000003364
209.0,63672.99999999999,-882.9300000002486
191.0,63623.00000000016,-851.9520000000392
174.0,63600.40000000024,-800.6439999996467
158.0,63600.20000000025,-724.5679999998596
145.0,63601.40000000024,-715.8319999998582
132.0,63611.80000000021,-698.0800000001415
120.0,63690.59999999993,-700.0380000004469
110.0,63695.199999999895,-705.4680000004483
100.0,63698.79999999991,-736.718000000524
91.2,63701.39999999991,-772.1019999999285
83.2,63710.19999999993,-794.3819999999137
75.9,63730.80000000008,-833.85199999983
69.2,63781.20000000035,-910.5240000001093
63.1,63809.80000000042,-990.4220000001504
57.5,63850.20000000016,-1079.4860000000738
52.5,63732.200000000186,-1689.679999999867
47.9,63914.99999999974,-986.1880000003396
43.7,64002.59999999965,-1162.800000000334
39.8,64011.59999999975,-1628.740000000188
36.3,63984.80000000008,-1742.8999999997332
33.1,64161.80000000029,-1878.2999999998535
30.2,64279.80000000013,-2016.8199999998576
27.5,64419.60000000019,-2255.1199999999644
25.1,64556.20000000031,-2630.400000000055
22.9,64549.40000000037,-2690.0600000000586
20.9,64655.00000000039,-2815.920000000091
19.1,64853.200000000266,-2996.819999999817
17.4,64960.600000000224,-3251.599999999969
15.8,65189.39999999991,-3577.58000000024
14.5,65276.00000000018,-3798.500000000406
13.2,65400.200000000135,-3972.72000000026
12.0,65731.99999999993,-4330.439999999919
11.0,65925.00000000026,-4601.91999999995
10.0,66235.19999999959,-5046.099999999654
9.12,66445.99999999967,-5320.659999999652
8.32,66604.59999999973,-5490.0199999993565
7.59,66919.19999999997,-5858.899999999497
6.92,67504.40000000026,-6434.6399999997
6.31,67617.60000000014,-6632.159999999734
5.75,68090.4000000001,-7058.440000000234
5.25,68591.40000000011,-7492.960000000247
4.79,68954.80000000002,-7839.44000000002
4.37,69493.79999999997,-8253.860000000004
3.98,70134.19999999994,-8766.400000000094
3.63,70373.20000000004,-8967.760000000248
3.31,71153.79999999983,-9524.420000000153
3.02,71619.79999999984,-9833.699999999824
2.75,72635.79999999973,-10409.019999999657
2.51,73032.9999999997,-10645.7199999998
2.29,73764.19999999965,-11081.760000000224
2.09,74287.39999999964,-11373.400000000507
1.91,75722.20000000038,-12008.600000000124
1.74,76288.60000000028,-12265.80000000004
1.58,77178.39999999983,-12736.199999999822
1.45,77949.80000000018,-13051.80000000028
1.32,78323.20000000007,-13223.2000000003
1.2,79725.99999999943,-13781.600000000408
1.1,80500.99999999997,-14002.599999999782
1.0,81315.3999999998,-14279.399999999629
