Re(Z),Img(Z)
4565.279999999984,11632.199999999935
4812.939999999998,12171.399999999983
4751.840000000007,12946.800000000369
5424.639999999975,13942.400000000198
6048.53999999997,13825.20000000002
6704.479999999959,15558.199999999815
7174.839999999961,15253.19999999981
7972.69999999998,16315.800000000168
8440.879999999976,16673.400000000183
9587.980000000023,17963.80000000049
10620.579999999987,18987.6000000001
11128.619999999988,18861.00000000008
13193.580000000024,20375.40000000044
13467.960000000028,20620.200000000412
14731.540000000068,21463.1999999999
15471.000000000093,22159.39999999981
16169.000000000044,22572.600000000508
17541.39999999999,23346.000000000447
19417.199999999983,24239.19999999961
19796.399999999987,24387.19999999966
20718.399999999976,24562.600000000537
20727.39999999997,24470.80000000051
22451.00000000008,25283.199999999742
23816.00000000013,25886.79999999935
24537.600000000144,26070.399999999216
26337.20000000013,26563.79999999917
27829.000000000124,27096.19999999931
28933.20000000004,27707.800000000305
29867.599999999915,28191.200000000485
30202.59999999993,28269.40000000047
32002.20000000007,29156.599999999857
33762.0000000002,29962.79999999941
34247.20000000031,30248.599999999336
35542.00000000026,30836.600000000217
36125.60000000025,31159.80000000028
37449.2000000001,32073.399999999685
38130.6,32576.99999999951
39019.99999999986,33274.799999999865
39295.999999999854,33446.199999999924
40586.999999999854,34345.00000000003
43064.99999999977,36150.80000000026
44009.599999999744,36798.99999999985
45436.399999999805,38081.80000000015
46449.60000000017,38806.80000000021
48036.59999999995,40319.40000000032
49623.60000000011,41574.99999999948
50488.00000000018,42521.99999999919
52526.1999999996,44364.79999999966
54180.399999999696,45879.80000000006
55143.6000000001,46783.60000000026
56846.99999999987,48501.20000000013
58708.00000000014,50553.20000000006
59883.20000000016,51747.20000000001
61165.400000000176,52962.20000000001
63540.00000000013,55257.80000000004
64762.60000000004,56422.59999999993
67877.9999999998,59477.59999999963
70062.99999999965,61677.99999999944
72379.99999999964,63742.59999999934
77954.8000000001,68231.59999999931
81590.20000000026,71715.59999999925
83799.19999999981,73490.99999999936
89480.59999999958,77519.79999999933
92655.99999999945,79691.99999999946
96478.59999999932,82152.80000000002
101211.79999999992,84470.19999999883
103528.40000000047,85919.9999999991
103916.40000000047,85959.5999999991
108699.60000000056,87553.59999999897
115013.60000000066,89599.99999999885
127516.6000000008,93775.99999999865
132624.20000000048,95145.59999999902
140694.4,96708.99999999936
144565.99999999965,97087.20000000064
151727.9999999992,97185.40000000138
160312.00000000087,96257.40000000143
164796.00000000064,95549.20000000148
171405.99999999985,94374.20000000024
180682.00000000087,91760.79999999925
184874.00000000055,90536.99999999948
191711.9999999992,88070.40000000125
195260.00000000047,86457.60000000127
200419.9999999995,83198.200000001
