Re(Z)_fit,Img(Z)_fit
12714.674549835847,4727.025036733569
12844.711608121668,5006.064360681778
12982.594520432405,5298.531410230481
13132.474642030551,5612.581741025968
13289.339533139899,5937.085869871379
13461.20678039345,6287.8700933985465
13641.858180238512,6651.398775684242
13838.213776169334,7040.710286941231
14046.05080958749,7446.41779588405
14269.67519378067,7875.900818478667
14509.062987906651,8327.880468820473
14763.546025141779,8799.894081593815
15040.872721697817,9304.755496011401
15331.83849368069,9824.228080333243
15657.658943807397,10394.068013150387
15995.297271725352,10971.968244510372
16354.742647573974,11573.76373276205
16753.40660149292,12225.817498235381
17174.160871240623,12897.322715207398
17612.30673999056,13579.32329356314
18121.134813142613,14350.436166464317
18612.596886068462,15075.056660191109
19180.875478369613,15889.616586225999
19797.92424295238,16747.385523238405
20465.138075608324,17645.495764778825
21118.311116673125,18496.891647895503
21872.85329205241,19448.242429602924
22668.201742296184,20415.976485378404
23494.90724360533,21386.090325902187
24452.513763254374,22467.12678035365
25440.539791739793,23537.566757419372
26497.36190358101,24635.327004405393
27618.61654490882,25750.107368156016
28836.530674579662,26906.544808778406
30108.391637756275,28057.589484849654
31496.547654597933,29252.12199870118
32947.457134484655,30436.14157674518
34512.58963734188,31644.120629138335
36153.24952505404,32838.011673698624
37897.57919402057,34031.031466859604
39738.1590966609,35209.65144103915
41661.93337541462,36358.54117737728
43717.28358057977,37497.4665841356
45825.36391199468,38575.62002354388
48125.14993457919,39653.1787175951
50439.087625047025,40638.45770230467
52824.2465366456,41554.86607018527
55375.41793965266,42428.19354910507
57961.72546761235,43205.04612552938
60541.47606818491,43874.76430175533
63396.661329842784,44497.19617967002
66199.64802510983,44989.95142260456
68885.08391378105,45354.41618467911
71815.79180173943,45633.93237483705
74783.51260231482,45792.68857951465
77500.99960174339,45829.106961899924
80427.50132902582,45752.063799124
83286.71879043781,45560.004934115444
86036.28296049692,45265.59352918038
88966.52561287237,44831.9199600727
91734.14465483167,44306.69684180821
94439.96599217979,43682.16860423276
97096.63619477836,42959.30621832306
99640.77195818207,42162.022442518115
102130.50330038107,41278.77497542887
104503.47257367702,40338.40330833443
106783.46924740478,39340.41402705815
109001.07480743354,38276.84687521939
111094.32284681324,37184.770776449725
113097.51755335709,36055.367750568876
114998.93700772994,34902.959576962756
116787.4262498565,33743.5627021868
118506.80143330443,32556.074845863623
120095.12578939217,31391.903841040854
121599.53157163986,30226.226643965114
123071.4017931007,29022.887724888078
124392.25367077829,27886.920271420822
125672.08344967989,26732.60543354129
126849.41425104385,25621.434931117717
127920.27244061675,24567.430324351142
129001.84184792415,23458.720315334835
129911.4243818429,22490.223831844025
130828.68737331779,21478.567394654554
131691.95368448648,20493.002507163736
132500.03581186902,19539.902827638343
133188.96825281405,18703.291389522823
133883.00526964304,17837.591021590357
134518.78527405957,17024.131776073475
135095.35447056935,16269.522371224879
135676.5793770642,15492.772665078133
136197.67913628992,14783.145844831097
136684.0075008209,14110.285344180873
137135.15261461318,13477.865079674048
137564.1199249914,12870.31662179715
137957.1808210055,12309.607562794145
138334.40647886525,11769.42220713888
138681.86577730023,11271.772088502743
139013.18733063524,10799.068360364381
139321.11245320892,10363.400433167779
139612.51672345615,9956.562115740695
139887.20580495446,9580.264007195561
140144.890056936,9236.051958257642
140393.0034616555,8915.263305940569
140623.5357427997,8629.165312278054
140852.3639794055,8359.415042916376
141062.9995266308,8126.414233400143
141263.2234680413,7921.222431107915
141461.8047495591,7736.168303104914
141649.67904677367,7580.685432148282
141826.10340480375,7454.441858528626
142011.08688731413,7345.166625006417
142173.2721644734,7270.83393092734
142344.47186391772,7216.074958193519
142514.29840826988,7187.525087387317
142669.4077587676,7185.106652369264
142835.4356597703,7208.497296518498
142999.5229020189,7258.563165638551
143160.99712362542,7334.09978271048
143318.77517095712,7432.764605113337
143491.26406192395,7567.915406315582
143660.01804216532,7726.449047954697
143832.33482995952,7913.474167703684
144007.87719499305,8128.056406263561
144191.95337964382,8376.64836879115
144378.5760106887,8650.560612644835
144577.4051185966,8963.487650262248
144781.3597090755,9303.785124326532
144998.4556451681,9683.920053494956
145224.20635130082,10095.157314115513
145463.56264807034,10545.21123726752
145716.74524614093,11033.243427610374
145983.38125671123,11556.874457847834
146271.90350087,12131.005505239975
146573.13077813067,12735.340690957964
146909.44235653547,13412.53676954342
147257.55351262848,14113.124147804638
147628.34037623616,14856.164383121595
148040.4235754662,15675.523093139562
148476.84669359846,16533.662122052006
148933.41622579543,17419.082610343245
149434.81150095354,18375.540882441517
149985.54649652963,19405.965629524402
150590.0687169583,20512.19736209928
151252.4429773034,21694.452324811522
151975.88132916,22950.646150871304
152691.48400799965,24158.27875125927
153527.31497268836,25526.517668470646
154418.9945049584,26938.30880506542
155357.3467440061,28373.513782735776
156458.80191027132,29996.122117936786
157611.35138624502,31626.926335241056
158861.93515439515,33324.281884305026
160208.4524663638,35073.93684996359
161693.493117286,36916.93754493224
163268.64529715458,38780.06165176872
165015.44028881905,40744.49695247795
166871.13684775447,42723.52119286387
168906.1932827468,44776.32551859398
171075.34790771978,46839.910212315546
173420.510803137,48937.97891873519
175937.06043822248,51047.85670233391
178611.71746607535,53142.152315864965
181517.41628316685,55257.526168514596
184547.11786756862,57298.97951142986
187906.85203688176,59380.909207717086
191341.86646465337,61325.27174565345
194936.9026250016,63173.71586667028
198839.65673559805,64977.60459542463
202852.98387514634,66624.93895610623
206909.16186418553,68086.9822287288
211455.3063895764,69494.63386338053
215674.73699385417,70591.55615829796
220342.29759610933,71578.28419262916
225156.30402169397,72353.75815331606
230071.43181667017,72897.64239140566
234602.00169828994,73180.66184216074
239506.71142021395,73253.07381969156
244317.98427185242,73088.20297541849
248956.60585658503,72706.93136109588
253905.98136780568,72056.49373904968
258579.6530259748,71206.91260785535
