Re(Z),Img(Z)
5480.600000000004,1841.6800000000517
5508.720000000018,1808.0999999999256
5490.700000000019,1839.719999999888
5409.040000000009,2004.2199999998384
5315.199999999997,2092.5199999999654
5367.300000000015,2167.7400000002062
5479.540000000022,2222.4999999998427
5555.360000000014,2376.2799999998656
5543.559999999988,2703.820000000047
5548.020000000006,2859.02000000004
5436.280000000009,3218.579999999854
3100.020000000001,5176.179999999929
5497.419999999977,3942.019999999646
5583.919999999972,3920.799999999606
5913.839999999991,3923.279999999792
6205.839999999997,3963.519999999869
6409.379999999991,4323.800000000003
6679.539999999993,4777.860000000117
6702.540000000026,4952.519999999754
6791.800000000028,5269.219999999781
7260.099999999987,5816.379999999626
7291.699999999961,5969.919999999705
7174.180000000028,6508.959999999682
7081.120000000022,7105.699999999789
7268.800000000041,7612.859999999583
7579.820000000033,8189.31999999993
7821.639999999974,8798.080000000498
7909.760000000041,9394.579999999787
8145.200000000043,10260.14000000031
8430.259999999984,11096.639999999848
8651.639999999965,11968.900000000354
8814.680000000004,12633.20000000005
9411.819999999989,13974.200000000246
9995.519999999984,15192.599999999744
10241.140000000009,16103.999999999727
11555.219999999996,18219.999999999647
11855.979999999974,19186.199999999564
13114.200000000024,20902.19999999943
13743.19999999996,22028.000000000226
15699.599999999991,24570.80000000029
16957.199999999924,26260.599999999635
19185.599999999955,28599.99999999988
20699.19999999985,30050.4000000005
22490.800000000007,31855.40000000052
24599.600000000108,33805.799999999595
29407.600000000064,36744.80000000003
31684.199999999862,37759.40000000037
36077.59999999991,39419.80000000016
39350.40000000008,40524.79999999997
42842.99999999985,40975.80000000029
48001.00000000003,41653.00000000003
51525.60000000008,41687.79999999959
53855.79999999989,41380.20000000003
57563.40000000037,40784.2000000005
61199.40000000018,40123.00000000021
65805.60000000012,38579.00000000029
69481.40000000014,36710.20000000006
71571.79999999978,34557.19999999968
74056.59999999958,33557.600000000384
76567.60000000014,31565.19999999977
79240.19999999984,29484.39999999978
80666.8000000004,27269.40000000032
82493.60000000014,24786.400000000893
83288.40000000026,23323.200000000827
84977.40000000036,21078.799999999675
85550.39999999967,19758.40000000001
87162.40000000002,17298.67999999973
88546.6000000002,15704.31999999975
88246.20000000038,14465.3999999998
89191.80000000053,13294.839999999853
89423.80000000035,11197.160000000256
89020.60000000028,10352.160000000436
88547.40000000068,9506.120000000434
88646.40000000036,8295.37999999985
88764.80000000025,7715.579999999806
88599.6000000002,6269.63999999968
88649.00000000017,5768.939999999716
88531.40000000029,4905.859999999784
88376.4000000002,4371.619999999755
88313.99999999971,4060.9999999997463
88505.99999999984,3767.679999999493
87995.00000000025,2874.419999999927
87784.20000000039,2598.6800000001203
87740.40000000053,2466.7000000000703
87587.99999999975,2419.139999999996
87578.80000000035,1966.499999999863
87542.00000000042,1770.299999999816
87412.19999999963,1563.339999999895
87217.40000000004,1518.57999999972
87112.7999999996,1185.3599999996798
86931.79999999933,1245.0799999996975
86995.00000000038,1527.7200000001585
86985.00000000036,1533.2200000001717
86961.20000000033,1567.9400000001997
86819.7999999997,1820.5000000002497
86571.39999999946,1778.9660000002427
86571.39999999946,1778.9660000002427
86441.99999999971,1801.820000000441
85126.99999999999,-2033.9000000003916
83728.3999999996,-10851.28000000038
81040.00000000006,6041.159999999699
81284.60000000011,11670.979999999754
82234.60000000012,12004.33999999988
86452.19999999981,4650.220000000256
86797.40000000017,6269.160000000542
85313.40000000013,13976.620000000406
85653.59999999954,13343.58000000067
86099.19999999959,12766.24000000065
86841.79999999945,11213.340000000637
88149.19999999956,6080.780000000333
88166.79999999967,5832.040000000284
85182.0,4815.719999999887
89364.40000000056,7275.719999999611
90900.59999999971,6707.040000000049
91587.39999999934,8236.719999999881
91295.00000000012,7977.960000000189
91830.99999999956,8634.539999999668
89583.39999999957,-268.39999999975265
81037.39999999972,-32919.83999999993
86402.39999999953,5290.720000000088
65522.40000000025,49001.95999999967
90907.2000000006,1077.0999999995165
96137.60000000036,6776.899999999978
92995.1999999996,4620.0599999999085
89284.00000000022,-25862.400000000067
93110.19999999968,23044.43999999943
98846.39999999967,12905.3199999998
99656.20000000032,12873.46000000004
100825.59999999987,13189.799999999845
102354.00000000048,14578.79999999992
103534.80000000072,14521.600000000284
104245.80000000085,14639.600000000231
104993.8000000008,14901.000000000044
106253.80000000072,15298.99999999983
106884.00000000012,15556.599999999791
108313.99999999929,15634.999999999744
109140.0,15975.400000000143
110285.99999999936,16339.00000000023
111571.9999999993,16572.600000000257
112671.99999999936,16641.200000000277
113153.99999999932,16733.400000000278
115635.99999999942,17305.800000000265
116675.99999999945,17516.600000000264
118493.99999999968,17950.20000000023
118843.99999999972,18036.800000000247
118983.99999999974,18066.800000000232
119791.99999999968,18310.40000000005
120719.99999999958,18544.400000000136
122583.99999999964,18963.20000000031
123560.00000000007,19109.79999999956
124473.9999999998,19222.19999999979
