Re(Z)_fit,Img(Z)_fit
3093.2032060831384,619.0153068686438
3095.1209935293127,678.2701953170215
3097.3457638646187,742.965895774007
3099.94010121504,813.8455304559452
3102.990887909015,891.9976179302271
3106.557866718162,977.5134413220696
3110.773073820656,1071.9124893366727
3115.6163897529323,1173.1245683983934
3121.3494707693476,1284.7981073047197
3128.1011265673883,1407.173789136623
3136.218591529312,1543.7922361011522
3145.665921697334,1691.228424308152
3156.8619882867774,1853.1205400720523
3170.021140822143,2029.2442946683514
3185.9580983076207,2226.3365427174817
3204.3911406646566,2436.8034244869395
3226.336447073439,2668.09691574438
3252.268554823162,2920.1472209227836
3282.551719292101,3191.5614119083248
3319.7843431249944,3498.73283420234
3365.8482204026086,3847.247288058722
3414.533122264992,4186.0157149250035
3477.6726084764364,4590.110187813582
3554.303558910036,5038.940929039992
3637.4209677145864,5485.672012200135
3745.634509146492,6018.818480325395
3870.48192429533,6580.99505620916
4018.4883026195394,7190.622057918623
4194.446395046936,7853.119004052612
4404.888928822017,8576.51981833967
4654.478466858688,9358.918654002644
4952.828203778663,10210.61920269415
5298.5031631584825,11108.80344112878
5709.730119461575,12080.561486214941
6194.69987564133,13120.693237302723
6776.237563397195,14249.382450365449
7448.215081564893,15426.768282751504
8234.957411904905,16668.468297121275
9143.400733237748,17955.902697496495
10217.254128747583,19315.505834939588
11421.036412808111,20670.439845521927
12799.509570206246,22042.450434161838
14352.549093150712,23398.063060160363
16065.896072753398,24697.44519068017
18033.266961401434,25973.61182718761
20272.82075490974,27184.218078846334
22430.452116346147,28136.072355896402
24948.79647391344,29008.35318314044
27643.529314774394,29680.815627922457
30193.596743400114,30084.573569355256
33043.37400432378,30279.2721170225
35808.89136011699,30213.960602732313
38530.85540955654,29903.60930271905
41176.72051801307,29360.727936514897
43723.77725908016,28600.987139897406
46119.91970449712,27656.884958310235
48360.78665750951,26551.743949895725
50372.14616180411,25353.770875535378
52210.28820394278,24063.43625616201
53859.50347064409,22720.437590886613
55349.424600358754,21328.562766902058
56638.938053032296,19959.44638675625
57767.62760111899,18608.733137172083
58740.56464134272,17304.343453225625
59596.99731718207,16023.148969237665
60313.33111033548,14832.245275802381
60929.13962918854,13699.474036907213
61452.39351096371,12637.336147144531
61891.63555537046,11656.621970470596
62277.46975998617,10710.251556536023
62613.75931878356,9803.015192934372
62867.16743798285,9055.057779544348
63102.31732224691,8298.306529264572
63302.83935530665,7592.808696778069
63457.62937356194,7000.459348520074
63601.12068915049,6404.743649994408
63718.011348736654,5878.3357143801395
63816.670630810026,5398.588116313163
63900.434064891626,4960.378199590112
63972.1428783107,4558.372352008213
64033.24416825306,4193.088883756993
64085.96834247174,3858.9440487685847
64130.47908215778,3562.166398918986
64169.473326553605,3291.064091785666
64203.64141887674,3045.8202472290054
64234.37220311721,2820.7817648664304
64261.38298592383,2621.8042260565517
64285.879842928436,2443.1788769861682
64308.20803513016,2284.8981531192444
64329.43421823948,2141.5844014250324
64349.00326101884,2018.491325917549
64367.896513846856,1910.2967310042773
64386.2682277016,1816.9471813430503
64404.203114351396,1738.2214409631065
64422.846397986854,1669.8351778845001
64442.48179261996,1612.3619800503204
64460.4578509112,1572.0379156395697
64480.87167026511,1539.1145840025797
64502.601829999694,1517.2173101195094
64523.52479130121,1507.0282411869293
64547.84308688416,1506.324981887336
64572.949633492906,1515.830982386065
64599.76036256678,1535.129196603527
64628.59176009588,1564.1698920501713
64659.88555385543,1603.2134150644488
64693.67800513878,1652.0703775611544
64730.56952164138,1711.3442469784675
64769.76392881833,1779.3029799620376
64812.688723214,1857.9541009857978
64859.44489864571,1947.1168146382797
64911.39654723035,2049.002960861445
64967.266666152456,2160.583732758899
65028.47345992956,2284.0538620316865
65094.980022798576,2418.6647303359928
65169.39183560936,2568.920752436365
65248.91978930322,2728.3422123673136
65336.47453704852,2901.8473603449347
65432.1476963142,3088.5612251910256
65535.54342894349,3286.6353691664654
65653.09413655296,3506.939002846407
65787.22001726375,3751.896825259943
65918.41488125731,3984.9879216869535
66076.01501611882,4256.746313113313
66252.51875173236,4550.895320127474
66429.75119380583,4836.002738637509
66643.32545439016,5166.782056209655
66870.97626436339,5505.035944335444
67120.69894726432,5860.366719824836
67395.46854403522,6233.837423585465
67699.55960971164,6627.555452244301
68033.27743663882,7037.953930347845
68402.35540639056,7467.746379290129
68798.298367803,7903.1979310033485
69234.73596279547,8355.213751152072
69711.64045964164,8818.61729519502
70241.34832213541,9299.341963226323
70808.64035798411,9778.063955753796
71425.0359158064,10259.624818544682
72086.45445116828,10735.481748805612
72813.73372966667,11213.951800435842
73573.78704806369,11667.874371707754
74387.79870308202,12105.724972897757
75248.18505658425,12518.05613430228
76142.54035072442,12895.277578257304
77113.92698182887,13249.187877751598
78163.70299504568,13569.868477936747
79131.71432397712,13811.324295270375
80221.01919000255,14023.20889124252
81351.45514799468,14178.151842972024
82398.56389605132,14263.976038283123
83553.85117973838,14295.147002744336
