Frequency,Ionic radius ,Temperature,Re(Z),Img(Z)
293.0,1.82e-10,20,240944.00000000146,10780.620000000123
271.0,1.82e-10,20,240342.00000000067,9260.160000000113
251.0,1.82e-10,20,238711.99999999924,5909.279999999829
233.0,1.82e-10,20,238079.99999999927,4775.879999999896
215.0,1.82e-10,20,237212.0000000007,3602.770000000198
200.0,1.82e-10,20,236932.00000000064,3230.5100000001944
185.0,1.82e-10,20,235199.99999999933,535.2299999999308
171.0,1.82e-10,20,234363.99999999907,-272.0700000002218
159.0,1.82e-10,20,233937.99999999895,-714.7100000002384
147.0,1.82e-10,20,232001.9999999997,-1645.020000000247
136.0,1.82e-10,20,230768.0,-3048.469999999734
126.0,1.82e-10,20,229824.00000000195,-3622.4999999997044
117.0,1.82e-10,20,229192.00000000186,-3621.1599999996397
108.0,1.82e-10,20,227550.00000000064,-4371.819999999908
100.0,1.82e-10,20,226030.00000000157,-4624.599999999845
92.6,1.82e-10,20,225016.00000000073,-4574.680000000072
85.8,1.82e-10,20,224482.00000000026,-4566.540000000126
79.4,1.82e-10,20,222645.9999999992,-4718.220000000233
73.6,1.82e-10,20,222078.0000000004,-4836.639999999927
68.1,1.82e-10,20,220001.99999999846,-4560.099999999916
63.1,1.82e-10,20,219133.99999999788,-4136.879999999763
58.4,1.82e-10,20,217317.99999999945,-3459.4599999998795
54.1,1.82e-10,20,216310.00000000058,-3328.559999999987
50.1,1.82e-10,20,214854.00000000186,-3784.594000000248
46.4,1.82e-10,20,213892.00000000096,-1936.4860000001954
43.0,1.82e-10,20,213243.9999999997,-1578.6260000001382
39.8,1.82e-10,20,212465.99999999884,-861.9040000003918
36.9,1.82e-10,20,211893.99999999927,-99.12400000023123
34.1,1.82e-10,20,211316.00000000058,938.6200000002405
31.6,1.82e-10,20,210216.0000000012,2829.2500000003133
29.3,1.82e-10,20,209760.0000000014,3846.0880000003226
27.1,1.82e-10,20,207356.00000000116,8373.085999999903
25.1,1.82e-10,20,207014.00000000114,9089.563999999897
23.3,1.82e-10,20,206812.00000000096,9572.74599999986
21.6,1.82e-10,20,206434.0000000005,11869.99999999961
20.0,1.82e-10,20,205463.99999999886,13136.699999999457
18.5,1.82e-10,20,204903.99999999814,14484.899999999432
17.1,1.82e-10,20,204143.99999999744,18685.399999999503
15.8,1.82e-10,20,204273.9999999975,21068.199999999473
14.7,1.82e-10,20,204687.99999999776,22373.199999999862
13.6,1.82e-10,20,204355.99999999756,26136.400000000216
12.6,1.82e-10,20,204881.99999999814,28116.40000000019
11.7,1.82e-10,20,205221.9999999986,29616.200000000066
10.8,1.82e-10,20,206353.99999999962,35350.9999999994
10.0,1.82e-10,20,207699.9999999989,40068.99999999943
9.26,1.82e-10,20,208555.9999999991,42522.19999999947
8.58,1.82e-10,20,208849.99999999904,43356.99999999951
7.94,1.82e-10,20,210908.0000000008,48233.79999999982
7.36,1.82e-10,20,211631.99999999924,50476.80000000038
6.81,1.82e-10,20,213860.00000000087,54878.800000000745
6.31,1.82e-10,20,215908.00000000026,57945.40000000054
5.84,1.82e-10,20,218542.00000000087,61722.99999999973
5.41,1.82e-10,20,221320.00000000114,65615.59999999926
5.01,1.82e-10,20,224774.00000000105,70109.19999999984
4.64,1.82e-10,20,228674.00000000148,73967.4000000007
4.3,1.82e-10,20,231170.00000000102,76393.20000000084
3.98,1.82e-10,20,236478.0000000011,81785.20000000115
3.69,1.82e-10,20,240826.0000000005,85921.40000000114
3.41,1.82e-10,20,244977.99999999916,89574.40000000093
3.16,1.82e-10,20,249110.00000000073,93396.00000000076
2.93,1.82e-10,20,252166.00000000012,95279.00000000057
2.71,1.82e-10,20,259098.00000000073,99039.39999999934
2.51,1.82e-10,20,261969.99999999994,100812.40000000031
2.33,1.82e-10,20,265425.99999999977,103040.40000000013
2.15,1.82e-10,20,275605.9999999997,108877.99999999901
2.0,1.82e-10,20,279130.0000000009,109811.39999999964
1.85,1.82e-10,20,284182.0000000002,110991.60000000078
1.71,1.82e-10,20,290524.00000000093,113357.9999999998
1.58,1.82e-10,20,297964.00000000244,115892.00000000099
1.47,1.82e-10,20,300220.00000000274,116850.00000000137
1.36,1.82e-10,20,307704.0000000022,120322.00000000212
1.26,1.82e-10,20,311862.0000000011,120682.00000000212
1.17,1.82e-10,20,314998.0000000007,120450.00000000176
1.08,1.82e-10,20,323756.0000000004,119456.00000000063
1.0,1.82e-10,20,326681.9999999983,119874.00000000076
1000000.0,1.82e-10,60,4489.959999999991,11847.200000000072
926000.0,1.82e-10,60,4701.720000000027,12384.19999999971
858000.0,1.82e-10,60,5285.199999999989,12774.800000000074
794000.0,1.82e-10,60,5835.299999999973,13939.000000000446
736000.0,1.82e-10,60,6373.299999999979,14270.199999999704
681000.0,1.82e-10,60,7336.620000000014,15342.79999999994
631000.0,1.82e-10,60,7948.8599999999515,15579.600000000297
584000.0,1.82e-10,60,8867.879999999981,16129.200000000234
541000.0,1.82e-10,60,9303.260000000017,16734.60000000028
501000.0,1.82e-10,60,10517.840000000026,17586.40000000023
464000.0,1.82e-10,60,11593.659999999969,18234.399999999885
430000.0,1.82e-10,60,12285.159999999954,18616.599999999635
398000.0,1.82e-10,60,13732.000000000044,19320.40000000058
369000.0,1.82e-10,60,14470.200000000052,19738.20000000047
341000.0,1.82e-10,60,15680.399999999943,20363.999999999636
316000.0,1.82e-10,60,16755.79999999991,20666.200000000266
293000.0,1.82e-10,60,17267.599999999937,20725.600000000322
271000.0,1.82e-10,60,18886.4,21443.400000000398
251000.0,1.82e-10,60,20608.59999999989,22112.000000000786
233000.0,1.82e-10,60,21175.40000000002,22276.400000000755
215000.0,1.82e-10,60,22440.80000000006,22317.000000000302
200000.0,1.82e-10,60,22677.000000000076,22373.60000000023
185000.0,1.82e-10,60,23358.600000000093,22512.200000000055
171000.0,1.82e-10,60,25862.40000000013,23418.599999999595
158000.0,1.82e-10,60,27103.200000000008,23725.399999999612
147000.0,1.82e-10,60,27998.799999999934,23980.799999999635
136000.0,1.82e-10,60,29161.999999999778,24214.600000000086
126000.0,1.82e-10,60,30074.399999999812,24398.40000000005
117000.0,1.82e-10,60,31425.199999999913,24972.199999999768
108000.0,1.82e-10,60,32438.0000000001,25170.400000000478
100000.0,1.82e-10,60,33746.59999999997,25579.000000000717
92600.0,1.82e-10,60,35135.20000000013,25895.39999999989
85800.0,1.82e-10,60,35304.00000000018,25796.000000000015
79400.0,1.82e-10,60,37038.000000000124,26518.7999999996
73600.0,1.82e-10,60,38111.2000000002,26780.600000000246
68100.0,1.82e-10,60,39169.00000000015,27190.799999999956
63100.0,1.82e-10,60,40180.20000000018,27723.399999999627
58400.0,1.82e-10,60,42073.79999999976,28692.600000000275
54100.0,1.82e-10,60,42203.59999999975,28682.600000000337
50100.0,1.82e-10,60,42614.39999999976,28713.20000000027
46400.0,1.82e-10,60,45042.59999999995,29799.599999999526
43000.0,1.82e-10,60,46247.40000000012,30588.799999999384
39800.0,1.82e-10,60,47466.40000000024,31298.00000000033
36900.0,1.82e-10,60,47878.00000000022,31243.800000000258
34100.0,1.82e-10,60,49418.00000000004,31834.79999999968
31600.0,1.82e-10,60,51733.80000000021,33126.39999999961
29300.0,1.82e-10,60,53177.79999999974,34043.4000000002
27100.0,1.82e-10,60,54248.199999999975,34258.79999999996
25100.0,1.82e-10,60,57607.199999999866,36327.999999999556
23300.0,1.82e-10,60,58464.20000000016,36845.19999999957
21500.0,1.82e-10,60,60874.80000000018,37741.79999999973
19900.0,1.82e-10,60,62101.79999999995,38347.00000000022
18500.0,1.82e-10,60,64132.00000000013,39367.79999999982
17100.0,1.82e-10,60,66606.9999999998,40069.39999999992
15800.0,1.82e-10,60,69422.60000000014,41250.800000000636
14700.0,1.82e-10,60,71055.40000000042,41850.600000000195
13600.0,1.82e-10,60,73053.40000000015,42434.00000000036
12600.0,1.82e-10,60,76383.40000000034,43613.40000000015
11700.0,1.82e-10,60,77118.60000000043,43932.20000000009
10800.0,1.82e-10,60,77837.60000000041,44409.0
10000.0,1.82e-10,60,83378.39999999997,44821.19999999976
9260.0,1.82e-10,60,87253.59999999948,44595.79999999951
8570.0,1.82e-10,60,90717.40000000014,44735.2000000003
7940.0,1.82e-10,60,93182.59999999993,44671.8000000004
7350.0,1.82e-10,60,95146.40000000036,44781.00000000008
6810.0,1.82e-10,60,100237.80000000042,43795.59999999923
6310.0,1.82e-10,60,102313.9999999998,43305.19999999912
5840.0,1.82e-10,60,104436.00000000051,42617.1999999998
5410.0,1.82e-10,60,107284.40000000021,41905.99999999999
5010.0,1.82e-10,60,110166.40000000037,40717.99999999919
4640.0,1.82e-10,60,114043.99999999972,39157.19999999947
4300.0,1.82e-10,60,114777.99999999987,39074.599999999824
3980.0,1.82e-10,60,117742.00000000017,37600.400000000685
3690.0,1.82e-10,60,118050.00000000007,37434.60000000076
3420.0,1.82e-10,60,122433.99999999905,34385.000000000015
3160.0,1.82e-10,60,124753.99999999953,33003.400000000634
2930.0,1.82e-10,60,126559.99999999929,31739.200000000394
2710.0,1.82e-10,60,128471.99999999967,30260.999999999618
2510.0,1.82e-10,60,130522.00000000023,27845.20000000058
2330.0,1.82e-10,60,131424.00000000073,27289.80000000059
2150.0,1.82e-10,60,132518.00000000064,26950.000000000447
2000.0,1.82e-10,60,133662.00000000035,24741.200000000797
1850.0,1.82e-10,60,134898.0,23231.400000000755
1710.0,1.82e-10,60,136645.9999999993,21503.200000000114
1580.0,1.82e-10,60,137751.99999999886,20372.999999999407
1470.0,1.82e-10,60,137815.99999999895,20259.19999999938
1360.0,1.82e-10,60,139212.0000000004,17009.1999999993
1260.0,1.82e-10,60,139952.00000000032,15711.799999999714
1170.0,1.82e-10,60,140100.0000000003,15073.400000000183
1080.0,1.82e-10,60,141071.99999999983,14091.600000000286
1000.0,1.82e-10,60,141373.9999999996,13242.320000000509
926.0,1.82e-10,60,141891.99999999945,12472.160000000284
858.0,1.82e-10,60,142011.99999999953,12241.460000000243
794.0,1.82e-10,60,143470.00000000064,9464.440000000195
736.0,1.82e-10,60,143620.00000000073,9319.940000000175
681.0,1.82e-10,60,144418.00000000076,8609.200000000417
631.0,1.82e-10,60,144686.00000000081,8497.62000000026
584.0,1.82e-10,60,144806.00000000081,6674.120000000385
541.0,1.82e-10,60,145110.0000000008,6503.780000000349
501.0,1.82e-10,60,145289.99999999997,5048.3600000002225
464.0,1.82e-10,60,145366.0,4446.440000000034
430.0,1.82e-10,60,145515.99999999994,4291.300000000015
398.0,1.82e-10,60,145335.99999999988,3163.440000000001
369.0,1.82e-10,60,145299.99999999985,2697.7040000002025
341.0,1.82e-10,60,145167.9999999998,2035.5440000003907
316.0,1.82e-10,60,145149.99999999977,1626.8760000000937
293.0,1.82e-10,60,145177.99999999977,1371.0699999999226
271.0,1.82e-10,60,145001.99999999977,772.7719999996384
251.0,1.82e-10,60,144993.9999999998,459.42199999975304
233.0,1.82e-10,60,144991.9999999998,264.72800000012273
215.0,1.82e-10,60,144793.9999999999,-132.47799999983516
200.0,1.82e-10,60,144368.00000000032,-245.59600000000862
185.0,1.82e-10,60,144238.0000000005,-344.5480000000025
171.0,1.82e-10,60,144024.00000000058,-425.1239999999034
159.0,1.82e-10,60,143932.0000000006,-430.5779999998856
147.0,1.82e-10,60,143784.00000000067,-437.2559999998381
136.0,1.82e-10,60,143350.00000000081,-391.8259999998386
126.0,1.82e-10,60,143162.00000000081,-262.541999999791
117.0,1.82e-10,60,143140.00000000081,14.37600000040221
108.0,1.82e-10,60,143014.0000000008,296.13200000044486
100.0,1.82e-10,60,142954.00000000076,599.5280000003695
92.6,1.82e-10,60,142802.00000000055,813.8440000003108
85.8,1.82e-10,60,142798.00000000055,822.936000000309
79.4,1.82e-10,60,142329.99999999988,1516.256000000003
73.6,1.82e-10,60,142301.99999999983,1585.217999999998
68.1,1.82e-10,60,142716.00000000035,2194.4339999996614
63.1,1.82e-10,60,142299.99999999983,2591.185999999789
58.4,1.82e-10,60,142177.99999999962,3211.5919999999564
54.1,1.82e-10,60,142193.99999999962,3658.332000000011
50.1,1.82e-10,60,142528.0000000001,4380.0480000002
46.4,1.82e-10,60,142650.00000000032,5111.210000000173
43.0,1.82e-10,60,142211.99999999968,5762.5999999997075
39.8,1.82e-10,60,142516.00000000003,6527.5499999999
36.9,1.82e-10,60,142846.00000000058,7761.3800000000365
34.1,1.82e-10,60,142898.00000000076,8576.17999999997
31.6,1.82e-10,60,142850.0000000008,9067.81999999991
29.3,1.82e-10,60,142742.0000000007,8939.199999999957
27.1,1.82e-10,60,143042.00000000038,10370.620000000014
25.1,1.82e-10,60,143666.0000000003,12774.340000000357
23.3,1.82e-10,60,143534.0000000003,12743.580000000353
21.6,1.82e-10,60,144595.99999999974,15241.419999999718
20.0,1.82e-10,60,145193.9999999996,16570.639999999607
18.5,1.82e-10,60,144831.99999999962,16585.239999999652
17.1,1.82e-10,60,146762.00000000108,20425.799999999515
15.8,1.82e-10,60,146912.00000000105,21890.999999999498
14.7,1.82e-10,60,148334.00000000114,23890.599999999577
13.6,1.82e-10,60,149924.00000000044,25684.99999999975
12.6,1.82e-10,60,150388.0000000003,27499.600000000115
11.7,1.82e-10,60,150986.00000000035,28647.200000000204
10.8,1.82e-10,60,152410.00000000044,30342.400000000172
10.0,1.82e-10,60,155311.99999999953,33829.4000000007
9.26,1.82e-10,60,156231.99999999945,34790.40000000066
8.58,1.82e-10,60,158389.99999999936,37016.000000000284
7.94,1.82e-10,60,161563.99999999965,39403.99999999966
7.36,1.82e-10,60,163293.99999999872,41208.5999999992
6.81,1.82e-10,60,165602.00000000017,43723.200000000135
6.31,1.82e-10,60,165328.0000000002,44762.000000000065
5.84,1.82e-10,60,170404.0000000008,47322.20000000022
5.41,1.82e-10,60,172344.00000000108,48763.19999999998
5.01,1.82e-10,60,175933.99999999953,51458.20000000012
4.64,1.82e-10,60,179067.99999999852,52718.20000000018
4.3,1.82e-10,60,180643.99999999863,53618.599999999846
3.98,1.82e-10,60,182479.99999999907,55371.00000000002
3.69,1.82e-10,60,185459.9999999997,57122.400000000016
3.41,1.82e-10,60,190756.00000000076,59223.799999999785
3.16,1.82e-10,60,196112.00000000073,61343.000000000065
2.93,1.82e-10,60,200304.000000001,62840.600000000195
2.71,1.82e-10,60,202400.0000000011,63530.80000000011
2.51,1.82e-10,60,203500.00000000108,64115.000000000255
2.33,1.82e-10,60,204560.00000000084,64534.20000000015
2.15,1.82e-10,60,215427.99999999913,68010.20000000049
2.0,1.82e-10,60,219811.99999999852,69170.60000000043
1.85,1.82e-10,60,223273.99999999854,69834.60000000062
1.71,1.82e-10,60,225019.9999999987,70084.60000000033
1.58,1.82e-10,60,232359.9999999993,70832.39999999908
1.47,1.82e-10,60,234949.99999999968,71212.59999999906
1.36,1.82e-10,60,242510.00000000076,71983.59999999915
1.26,1.82e-10,60,246949.9999999995,73345.99999999908
1.17,1.82e-10,60,248574.00000000006,74319.39999999882
1.08,1.82e-10,60,253130.00000000175,74986.80000000032
1.0,1.82e-10,60,253138.00000000175,74989.20000000032
1000000.0,2.06e-10,-5,8644.340000000044,2478.139999999985
912000.0,2.06e-10,-5,8724.460000000066,2314.9199999996686
832000.0,2.06e-10,-5,8693.260000000042,2433.559999999718
759000.0,2.06e-10,-5,8714.300000000043,2608.1399999997
692000.0,2.06e-10,-5,8837.60000000006,3065.419999999867
631000.0,2.06e-10,-5,8900.360000000059,3230.0800000003032
575000.0,2.06e-10,-5,8993.060000000025,3181.9199999997195
525000.0,2.06e-10,-5,9217.220000000007,3260.6199999998685
479000.0,2.06e-10,-5,9429.49999999999,3546.9400000000155
437000.0,2.06e-10,-5,9404.360000000011,3855.6599999998753
398000.0,2.06e-10,-5,9528.220000000005,4017.7600000000443
363000.0,2.06e-10,-5,8909.239999999998,4454.199999999847
331000.0,2.06e-10,-5,9952.480000000029,4576.019999999544
302000.0,2.06e-10,-5,10098.399999999998,4762.4599999995535
275000.0,2.06e-10,-5,10124.380000000036,5298.819999999503
251000.0,2.06e-10,-5,10275.100000000042,5390.499999999826
229000.0,2.06e-10,-5,10393.98000000002,5622.659999999952
209000.0,2.06e-10,-5,10778.799999999974,5990.359999999931
191000.0,2.06e-10,-5,11140.719999999963,6474.200000000205
174000.0,2.06e-10,-5,11172.00000000002,6663.1200000002855
158000.0,2.06e-10,-5,11163.960000000003,7096.90000000013
145000.0,2.06e-10,-5,10907.72,7221.6800000001285
132000.0,2.06e-10,-5,10730.840000000017,7577.31999999997
120000.0,2.06e-10,-5,11687.340000000004,8759.499999999658
110000.0,2.06e-10,-5,11993.740000000045,9276.559999999534
100000.0,2.06e-10,-5,11814.960000000003,9674.03999999983
91200.0,2.06e-10,-5,12371.519999999917,10823.620000000099
83200.0,2.06e-10,-5,12756.539999999908,11428.500000000235
75900.0,2.06e-10,-5,12681.75999999993,11737.00000000025
69200.0,2.06e-10,-5,13171.69999999999,13329.999999999798
63100.0,2.06e-10,-5,13841.69999999998,14289.199999999975
57500.0,2.06e-10,-5,14273.800000000005,15389.999999999874
52500.0,2.06e-10,-5,14603.05999999994,16575.199999999848
47900.0,2.06e-10,-5,15198.200000000035,17964.59999999997
43700.0,2.06e-10,-5,16046.40000000001,19292.20000000042
39800.0,2.06e-10,-5,16826.39999999995,21209.400000000554
36300.0,2.06e-10,-5,17436.799999999897,22515.400000000624
33100.0,2.06e-10,-5,18513.400000000016,24632.20000000032
30200.0,2.06e-10,-5,19741.799999999876,26211.59999999994
27500.0,2.06e-10,-5,21222.40000000003,28746.399999999347
25100.0,2.06e-10,-5,22632.79999999988,30480.400000000176
22900.0,2.06e-10,-5,24462.399999999998,32638.00000000021
20900.0,2.06e-10,-5,26378.799999999985,34868.40000000055
19100.0,2.06e-10,-5,28988.999999999956,37494.40000000073
17400.0,2.06e-10,-5,32048.79999999991,40008.599999999715
15800.0,2.06e-10,-5,36267.00000000011,42920.00000000008
14500.0,2.06e-10,-5,37907.00000000003,43767.79999999981
13200.0,2.06e-10,-5,43534.20000000019,46576.4000000002
12000.0,2.06e-10,-5,46168.400000000096,47164.399999999994
11000.0,2.06e-10,-5,50840.19999999983,48683.60000000021
10000.0,2.06e-10,-5,57414.40000000029,49819.39999999939
9120.0,2.06e-10,-5,61548.39999999994,50216.59999999988
8320.0,2.06e-10,-5,65594.39999999967,50344.99999999974
7590.0,2.06e-10,-5,68121.20000000001,49749.5999999999
6920.0,2.06e-10,-5,74381.40000000005,49439.600000000006
6310.0,2.06e-10,-5,79109.2000000001,48085.79999999962
5750.0,2.06e-10,-5,84134.80000000048,46242.79999999927
5250.0,2.06e-10,-5,88136.0000000005,44859.19999999941
4790.0,2.06e-10,-5,91168.00000000023,42725.59999999917
4370.0,2.06e-10,-5,94817.60000000022,40698.799999999275
3980.0,2.06e-10,-5,97721.39999999962,38072.799999999115
3630.0,2.06e-10,-5,100030.39999999982,35248.20000000014
3310.0,2.06e-10,-5,101139.2000000003,32443.59999999955
3020.0,2.06e-10,-5,102388.20000000029,30516.399999999714
2750.0,2.06e-10,-5,105831.79999999976,27852.39999999981
2510.0,2.06e-10,-5,107059.79999999952,26232.399999999547
2290.0,2.06e-10,-5,108459.60000000018,23256.000000000615
2090.0,2.06e-10,-5,109877.60000000015,20346.400000000496
1910.0,2.06e-10,-5,110626.40000000002,19683.600000000508
1740.0,2.06e-10,-5,111391.99999999939,18446.60000000036
1580.0,2.06e-10,-5,111579.99999999937,16703.140000000218
1450.0,2.06e-10,-5,111855.99999999981,15688.559999999963
1320.0,2.06e-10,-5,112538.00000000041,14145.51999999974
1200.0,2.06e-10,-5,113042.0000000006,11981.860000000346
1100.0,2.06e-10,-5,113228.00000000045,11279.820000000504
1000.0,2.06e-10,-5,113843.99999999971,10548.280000000004
912.0,2.06e-10,-5,113877.99999999974,10066.380000000263
832.0,2.06e-10,-5,113889.99999999971,9734.020000000233
759.0,2.06e-10,-5,113332.00000000042,7606.460000000287
692.0,2.06e-10,-5,113350.0000000004,6896.440000000204
631.0,2.06e-10,-5,113769.99999999991,6933.640000000179
575.0,2.06e-10,-5,113967.99999999965,6462.579999999831
525.0,2.06e-10,-5,113911.99999999971,6145.719999999817
479.0,2.06e-10,-5,113360.00000000042,5949.059999999503
437.0,2.06e-10,-5,113789.99999999993,5758.219999999612
398.0,2.06e-10,-5,113885.99999999975,5467.699999999632
363.0,2.06e-10,-5,113725.99999999988,5467.039999999753
331.0,2.06e-10,-5,113320.00000000044,5674.120000000057
302.0,2.06e-10,-5,113688.00000000001,5838.600000000377
275.0,2.06e-10,-5,113240.0000000005,5565.8999999998305
251.0,2.06e-10,-5,113124.00000000067,5624.479999999572
229.0,2.06e-10,-5,113268.00000000051,6123.41999999965
209.0,2.06e-10,-5,113669.99999999999,6253.3599999995695
191.0,2.06e-10,-5,113674.00000000001,6276.9599999995835
174.0,2.06e-10,-5,113907.99999999975,7160.819999999658
158.0,2.06e-10,-5,114083.99999999974,7855.859999999925
145.0,2.06e-10,-5,114099.99999999974,7885.679999999929
132.0,2.06e-10,-5,114151.99999999977,8623.960000000357
120.0,2.06e-10,-5,114764.00000000003,9059.880000000303
110.0,2.06e-10,-5,114984.00000000016,9431.280000000244
100.0,2.06e-10,-5,115464.00000000033,10630.579999999987
91.2,2.06e-10,-5,116545.20000000068,10520.63999999977
83.2,2.06e-10,-5,116610.80000000064,10914.180000000295
